host_id,timestamp,kpi_1,kpi_2,kpi_3
2_7,1472918400,0.234191068,2.3125,0.847300274
2_7,1472918700,0.236657226,2.75,-0.036137314
2_7,1472919000,0.230887346,2.5625,0.074292384
2_7,1472919300,0.217486334,2.625,0.074292384
2_7,1472919600,0.223721527,2.6875,-0.036137314
2_7,1472919900,0.204761577,2.75,0.184722083
2_7,1472920200,0.227282722,2.625,-0.036137314
2_7,1472920500,0.215625083,2.75,0.184722083
2_7,1472920800,0.210903708,2.75,0.074292384
2_7,1472921100,0.197245223,2.6875,-0.036137314
2_7,1472921400,0.189638908,2.875,-0.036137314
2_7,1472921700,0.179144551,2.625,-0.036137314
2_7,1472922000,0.178493113,2.8125,-0.256996711
2_7,1472922300,0.174237051,2.8125,-0.256996711
2_7,1472922600,0.164487194,2.75,-0.36742641
2_7,1472922900,0.155785843,2.75,-0.36742641
2_7,1472923200,0.140477048,2.8125,-0.036137314
2_7,1472923500,0.139198989,2.875,-0.36742641
2_7,1472923800,0.131940107,3,-0.146567013
2_7,1472924100,0.124516815,3,-0.36742641
2_7,1472924400,0.121330973,2.8125,-0.477856108
2_7,1472924700,0.118793467,2.9375,-0.477856108
2_7,1472925000,0.115049249,2.875,-0.477856108
2_7,1472925300,0.104554892,2.9375,-0.477856108
2_7,1472925600,0.106720148,2.9375,-0.477856108
2_7,1472925900,0.106580554,2.875,-0.588285807
2_7,1472926200,0.099647391,2.8125,-0.809145204
2_7,1472926500,0.090992571,2.875,-0.809145204
2_7,1472926800,0.091737072,2.9375,-0.698715505
2_7,1472927100,0.087896689,2.875,-0.698715505
2_7,1472927400,0.084245534,3,-0.809145204
2_7,1472927700,0.079939839,3,-0.809145204
2_7,1472928000,0.08084875,2.9375,-0.36742641
2_7,1472928300,0.077985525,3,-0.698715505
2_7,1472928600,0.075752023,3,-0.919574903
2_7,1472928900,0.071145425,3,-0.919574903
2_7,1472929200,0.070146553,3,-0.919574903
2_7,1472929500,0.066284456,2.9375,-0.809145204
2_7,1472929800,0.066120045,3,-1.1404343
2_7,1472930100,0.067401207,3,-0.919574903
2_7,1472930400,0.06663189,3,-1.1404343
2_7,1472930700,0.066703238,2.9375,-1.1404343
2_7,1472931000,0.064609329,3,-1.1404343
2_7,1472931300,0.061885698,3.125,-1.1404343
2_7,1472931600,0.066144862,3,-1.030004601
2_7,1472931900,0.060979889,3,-1.250863998
2_7,1472932200,0.055349603,3,-1.250863998
2_7,1472932500,0.056348474,3,-1.1404343
2_7,1472932800,0.051695345,3.0625,-1.250863998
2_7,1472933100,0.055231723,3.0625,-1.250863998
2_7,1472933400,0.050696474,3,-1.250863998
2_7,1472933700,0.053767539,3,-1.1404343
2_7,1472934000,0.052625971,3.125,-1.250863998
2_7,1472934300,0.051766693,3.0625,-1.361293697
2_7,1472934600,0.052604256,3.125,-1.361293697
2_7,1472934900,0.051115255,3,-1.361293697
2_7,1472935200,0.049160941,3.125,-1.361293697
2_7,1472935500,0.051068724,3.125,-1.361293697
2_7,1472935800,0.048484686,3.0625,-1.250863998
2_7,1472936100,0.046648251,3.3125,-1.250863998
2_7,1472936400,0.04755406,3.0625,-1.250863998
2_7,1472936700,0.050392469,3,-1.361293697
2_7,1472937000,0.048438155,3.125,-1.361293697
2_7,1472937300,0.050277692,3.25,-1.361293697
2_7,1472937600,0.048065905,3.0625,-1.361293697
2_7,1472937900,0.050439,3,-1.361293697
2_7,1472938200,0.05188147,3.1875,-1.361293697
2_7,1472938500,0.053488351,3.375,-1.361293697
2_7,1472938800,0.055303071,3.3125,-1.361293697
2_7,1472939100,0.055070415,3.25,-1.250863998
2_7,1472939400,0.057676167,3.25,-1.361293697
2_7,1472939700,0.056999912,3.25,-1.361293697
2_7,1472940000,0.065074642,3.4375,-1.250863998
2_7,1472940300,0.068027828,3.375,-1.361293697
2_7,1472940600,0.070726643,3.25,-1.250863998
2_7,1472940900,0.071635554,3.4375,-1.250863998
2_7,1472941200,0.075752023,3.375,-1.250863998
2_7,1472941500,0.079499343,3.25,-1.1404343
2_7,1472941800,0.080684339,3.625,-1.030004601
2_7,1472942100,0.086665161,3.4375,-1.1404343
2_7,1472942400,0.087896689,3.5,-0.919574903
2_7,1472942700,0.099507798,3.3125,-0.919574903
2_7,1472943000,0.08950357,3.125,-1.030004601
2_7,1472943300,0.094249762,3.5625,-1.030004601
2_7,1472943600,0.105671643,3.3125,-0.919574903
2_7,1472943900,0.10969815,3.5,-0.919574903
2_7,1472944200,0.110045584,3.6875,-0.919574903
2_7,1472944500,0.119817155,3.5625,-0.588285807
2_7,1472944800,0.127286978,3.5,-0.698715505
2_7,1472945100,0.126868197,3.6875,-0.588285807
2_7,1472945400,0.132194478,3.4375,-0.477856108
