host_id,timestamp,kpi_1,kpi_3
2_6,1472918400,0.234191068,2.75
2_6,1472918700,0.236657226,2.5625
2_6,1472919000,0.230887346,2.625
2_6,1472919300,0.217486334,2.6875
2_6,1472919600,0.223721527,2.75
2_6,1472919900,0.204761577,2.625
2_6,1472920200,0.227282722,2.75
2_6,1472920500,0.215625083,2.75
2_6,1472920800,0.210903708,2.6875
2_6,1472921100,0.197245223,2.875
2_6,1472921400,0.189638908,2.625
2_6,1472921700,0.179144551,2.8125
2_6,1472922000,0.178493113,2.8125
2_6,1472922300,0.174237051,2.75
2_6,1472922600,0.164487194,2.75
2_6,1472922900,0.155785843,2.8125
2_6,1472923200,0.140477048,2.875
2_6,1472923500,0.139198989,3
2_6,1472923800,0.131940107,3
2_6,1472924100,0.124516815,2.8125
2_6,1472924400,0.121330973,2.9375
2_6,1472924700,0.118793467,2.875
2_6,1472925000,0.115049249,2.9375
2_6,1472925300,0.104554892,2.9375
2_6,1472925600,0.106720148,2.875
2_6,1472925900,0.106580554,2.8125
2_6,1472926200,0.099647391,2.875
2_6,1472926500,0.090992571,2.9375
2_6,1472926800,0.091737072,2.875
2_6,1472927100,0.087896689,3
2_6,1472927400,0.084245534,3
2_6,1472927700,0.079939839,2.9375
2_6,1472928000,0.08084875,3
2_6,1472928300,0.077985525,3
2_6,1472928600,0.075752023,3
2_6,1472928900,0.071145425,3
2_6,1472929200,0.070146553,2.9375
2_6,1472929500,0.066284456,3
2_6,1472929800,0.066120045,3
2_6,1472930100,0.067401207,3
2_6,1472930400,0.06663189,2.9375
2_6,1472930700,0.066703238,3
2_6,1472931000,0.064609329,3.125
2_6,1472931300,0.061885698,3
2_6,1472931600,0.066144862,3
2_6,1472931900,0.060979889,3
2_6,1472932200,0.055349603,3
2_6,1472932500,0.056348474,3.0625
2_6,1472932800,0.051695345,3.0625
2_6,1472933100,0.055231723,3
2_6,1472933400,0.050696474,3
2_6,1472933700,0.053767539,3.125
2_6,1472934000,0.052625971,3.0625
2_6,1472934300,0.051766693,3.125
2_6,1472934600,0.052604256,3
2_6,1472934900,0.051115255,3.125
2_6,1472935200,0.049160941,3.125
2_6,1472935500,0.051068724,3.0625
2_6,1472935800,0.048484686,3.3125
2_6,1472936100,0.046648251,3.0625
2_6,1472936400,0.04755406,3
2_6,1472936700,0.050392469,3.125
2_6,1472937000,0.048438155,3.25
2_6,1472937300,0.050277692,3.0625
2_6,1472937600,0.048065905,3
2_6,1472937900,0.050439,3.1875
2_6,1472938200,0.05188147,3.375
2_6,1472938500,0.053488351,3.3125
2_6,1472938800,0.055303071,3.25
2_6,1472939100,0.055070415,3.25
2_6,1472939400,0.057676167,3.25
2_6,1472939700,0.056999912,3.4375
2_6,1472940000,0.065074642,3.375
2_6,1472940300,0.068027828,3.25
2_6,1472940600,0.070726643,3.4375
2_6,1472940900,0.071635554,3.375
2_6,1472941200,0.075752023,3.25
2_6,1472941500,0.079499343,3.625
2_6,1472941800,0.080684339,3.4375
2_6,1472942100,0.086665161,3.5
2_6,1472942400,0.087896689,3.3125
2_6,1472942700,0.099507798,3.125
2_6,1472943000,0.08950357,3.5625
2_6,1472943300,0.094249762,3.3125
2_6,1472943600,0.105671643,3.5
2_6,1472943900,0.10969815,3.6875
2_6,1472944200,0.110045584,3.5625
2_6,1472944500,0.119817155,3.5
2_6,1472944800,0.127286978,3.6875
2_6,1472945100,0.126868197,3.4375
2_6,1472945400,0.132194478,3.75
2_6,1472945700,0.138035706,3.6875
2_6,1472946000,0.132591545,3.625
2_6,1472946300,0.15115753,3.75
2_6,1472946600,0.161766665,3.75
2_6,1472946900,0.154135533,3.625
2_6,1472947200,0.162604228,3.8125
2_6,1472947500,0.172118326,3.625
2_6,1472947800,0.181309807,3.75
2_6,1472948100,0.188522157,3.625
2_6,1472948400,0.189102247,3.9375
2_6,1472948700,0.19117444,3.9375
2_6,1472949000,0.205481261,3.875
2_6,1472949300,0.213044147,3.75
2_6,1472949600,0.213949956,3.875
2_6,1472949900,0.233586161,3.75
2_6,1472950200,0.230887346,3.875
2_6,1472950500,0.239892702,3.8125
2_6,1472950800,0.249825582,3.9375
2_6,1472951100,0.257016217,3.625
2_6,1472951400,0.283957834,3.8125
2_6,1472951700,0.2877734,3.9375
2_6,1472952000,0.283585584,3.875
2_6,1472952300,0.286982368,3.8125
2_6,1472952600,0.296614345,4
2_6,1472952900,0.29135631,3.8125
2_6,1472953200,0.298289472,3.8125
2_6,1472953500,0.312782418,3.9375
